t,ECG 0,ECG 1,ECG 2,ECG 3,ECG 4,ECG 5,ECG 6,ECG 7
1970-01-01 00:00:00,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
1970-01-01 00:00:01,-0.70039293,0.4953537,0.6454699,-0.022726146,-0.30907483,0.044056006,-0.59122705,-0.02680555
1970-01-01 00:00:02,-0.70039293,0.43399891,0.59547777,0.006896529,-0.24379342,-0.014618105,-0.62327965,-0.041040161
1970-01-01 00:00:03,-0.70039293,0.43399891,0.58833603,0.029113535,-0.17851201,-0.087960743,-0.64464806,-0.02680555
1970-01-01 00:00:04,-0.70039293,0.18857972,0.57405256,-0.022726146,-0.11323061,-0.04395516,-0.62327965,-0.02680555
1970-01-01 00:00:05,-0.74681564,0.035192728,0.53834389,-0.037537483,-0.13934317,-0.029286632,-0.68738487,-0.055274771
1970-01-01 00:00:06,-0.70039293,0.0045153296,0.52406043,-0.030131814,-0.1915683,-0.073292216,-0.69806907,-0.005453635
1970-01-01 00:00:07,-0.63849599,0.0045153296,0.48121002,0.006896529,-0.23073714,-0.1172978,-0.66601646,0.03013289
1970-01-01 00:00:08,-0.6849187,0.15790232,0.51691869,-0.030131814,-0.1915683,-0.1172978,-0.67670067,0.072836721
1970-01-01 00:00:09,-0.66944446,0.31128931,0.47406829,-0.037537483,-0.17851201,-0.17597191,-0.65533226,0.058602111
1970-01-01 00:00:10,-0.7313414,0.18857972,0.47406829,-0.022726146,-0.21768086,-0.19064044,-0.77285849,0.037250196
1970-01-01 00:00:11,-0.66944446,-0.30225865,0.48121002,-0.037537483,-0.25684971,-0.13196633,-0.74080588,0.10842325
1970-01-01 00:00:12,-0.7313414,-0.60903264,0.45978482,-0.015320477,-0.21768086,-0.14663485,-0.76217429,0.058602111
1970-01-01 00:00:13,-0.74681564,-0.79309703,0.47406829,-0.074565826,-0.12628689,-0.17597191,-0.78354269,0.01589828
1970-01-01 00:00:14,-0.7313414,-0.67038743,0.45264309,-0.044943152,-0.087118041,-0.17597191,-0.8262795,0.065719416
1970-01-01 00:00:15,-0.7313414,-0.42496825,0.46692656,-0.05234882,-0.11323061,-0.13196633,-0.90106892,0.0016636701
1970-01-01 00:00:16,-0.76228987,0.0045153296,0.45978482,-0.081971495,-0.087118041,-0.14663485,-0.87970052,-0.005453635
1970-01-01 00:00:17,-0.7313414,0.096547525,0.47406829,-0.081971495,-0.12628689,-0.1172978,-0.85833211,0.0016636701
1970-01-01 00:00:18,-0.76228987,0.12722492,0.49549349,-0.059754489,-0.11323061,-0.1172978,-0.87970052,-0.01257094
1970-01-01 00:00:19,-0.76228987,0.12722492,0.49549349,-0.059754489,-0.13934317,-0.13196633,-0.86901631,-0.033922855
1970-01-01 00:00:20,-0.76228987,0.065870126,0.47406829,-0.074565826,-0.16545573,-0.17597191,-0.90106892,-0.01257094
1970-01-01 00:00:21,-0.79323835,0.065870126,0.48835176,-0.1041885,-0.20462458,-0.19064044,-0.89038472,-0.019688245
1970-01-01 00:00:22,-0.901558,0.12722492,0.48121002,-0.089377164,-0.1915683,-0.20530896,-0.92243733,0.0016636701
1970-01-01 00:00:23,-0.82418682,0.15790232,0.50263523,-0.089377164,-0.20462458,-0.13196633,-0.92243733,-0.019688245
1970-01-01 00:00:24,-0.79323835,0.035192728,0.50263523,-0.089377164,-0.17851201,-0.26398308,-0.92243733,0.072836721
1970-01-01 00:00:25,-0.87060953,0.096547525,0.48121002,-0.081971495,-0.16545573,-0.26398308,-0.93312153,0.23653474
1970-01-01 00:00:26,-0.83966105,0.065870126,0.48121002,-0.089377164,-0.17851201,-0.24931455,-0.95448994,0.35041162
1970-01-01 00:00:27,-0.87060953,-0.11819426,0.48121002,-0.089377164,-0.15239945,-0.24931455,-0.94380573,0.087071331
1970-01-01 00:00:28,-0.901558,-0.14887166,0.46692656,-0.089377164,-0.074061759,-0.21997749,-0.90106892,-0.67448031
1970-01-01 00:00:29,-0.88608376,-0.087516866,0.47406829,-0.096782832,-0.061005477,-0.20530896,-0.86901631,-1.5854954
1970-01-01 00:00:30,-0.94798071,-0.11819426,0.48121002,-0.074565826,0.043444778,-0.20530896,-0.89038472,-2.4466893
1970-01-01 00:00:31,-0.94798071,-0.14887166,0.47406829,-0.074565826,0.043444778,-0.2786516,-0.85833211,-3.2438275
