t,ECG 1,ECG 2,ECG3
1970-01-01 00:16:40,-0.047949195,-0.33732571,-0.099753726
1970-01-01 00:16:41,-0.17851201,-0.30798866,-0.13180633
1970-01-01 00:16:42,-0.3351874,-0.30798866,-0.15317474
1970-01-01 00:16:43,-0.30907483,-0.32265719,-0.07838532
1970-01-01 00:16:44,-0.24379342,-0.30798866,-0.014280105
1970-01-01 00:16:45,-0.1915683,-0.26398308,-0.046332712
1970-01-01 00:16:46,-0.16545573,-0.23464602,0.017772503
1970-01-01 00:16:47,-0.29601855,-0.17597191,0.0070883007
1970-01-01 00:16:48,-0.32213112,-0.24931455,0.049825111
1970-01-01 00:16:49,-0.29601855,-0.26398308,0.039140909
1970-01-01 00:16:50,-0.21768086,-0.19064044,0.071193516
1970-01-01 00:16:51,-0.15239945,-0.24931455,0.10324612
1970-01-01 00:16:52,-0.17851201,-0.23464602,0.11393033
1970-01-01 00:16:53,-0.28296227,-0.2786516,0.16735134
1970-01-01 00:16:54,-0.32213112,-0.24931455,0.16735134
1970-01-01 00:16:55,-0.24379342,-0.20530896,0.19940395
1970-01-01 00:16:56,-0.23073714,-0.26398308,0.17803554
1970-01-01 00:16:57,-0.1915683,-0.2786516,0.11393033
1970-01-01 00:16:58,-0.20462458,-0.2786516,0.10324612
1970-01-01 00:16:59,-0.21768086,-0.32265719,0.060509314
1970-01-01 00:17:00,-0.17851201,-0.36666277,0.060509314
1970-01-01 00:17:01,-0.047949195,-0.32265719,0.028456706
1970-01-01 00:17:02,-0.021836632,-0.33732571,0.028456706
1970-01-01 00:17:03,-0.034892913,-0.32265719,-0.014280105
1970-01-01 00:17:04,-0.047949195,-0.35199424,-0.024964307
1970-01-01 00:17:05,0.017332214,-0.3813313,-0.057016915
1970-01-01 00:17:06,0.18706388,-0.39599983,-0.07838532
1970-01-01 00:17:07,0.50041465,-0.41066835,-0.046332712
1970-01-01 00:17:08,0.93127195,-0.33732571,-0.046332712
1970-01-01 00:17:09,1.5579735,-0.30798866,-0.089069523
1970-01-01 00:17:10,2.1324499,-0.35199424,-0.14249054
1970-01-01 00:17:11,2.602476,-0.41066835,-0.15317474
1970-01-01 00:17:12,2.9549956,-0.36666277,-0.19591155
1970-01-01 00:17:13,3.2552901,-0.33732571,-0.19591155
1970-01-01 00:17:14,3.3466841,-0.33732571,-0.23864836
1970-01-01 00:17:15,3.2814027,-0.36666277,-0.24933256
1970-01-01 00:17:16,3.0072208,-0.41066835,-0.22796416
1970-01-01 00:17:17,2.7330389,-0.36666277,-0.22796416
1970-01-01 00:17:18,2.6547012,-0.33732571,-0.22796416
1970-01-01 00:17:19,2.5763635,-0.30798866,-0.24933256
1970-01-01 00:17:20,2.6155323,-0.26398308,-0.24933256
1970-01-01 00:17:21,2.7069263,-0.32265719,-0.22796416
1970-01-01 00:17:22,2.8113765,-0.26398308,-0.24933256
1970-01-01 00:17:23,2.6677574,-0.2786516,-0.23864836
1970-01-01 00:17:24,2.2630127,-0.2786516,-0.18522735
1970-01-01 00:17:25,1.9627182,-0.20530896,-0.21727995
1970-01-01 00:17:26,2.0671685,-0.2786516,-0.24933256
1970-01-01 00:17:27,2.4327444,-0.29332013,-0.18522735
1970-01-01 00:17:28,2.7591514,-0.2786516,-0.19591155
1970-01-01 00:17:29,2.6677574,-0.21997749,-0.24933256
1970-01-01 00:17:30,2.1324499,-0.21997749,-0.20659575
1970-01-01 00:17:31,1.3099041,-0.23464602,-0.22796416
1970-01-01 00:17:32,0.63097746,-0.23464602,-0.20659575
1970-01-01 00:17:33,0.1740076,-0.19064044,-0.21727995
1970-01-01 00:17:34,0.13483875,-0.23464602,-0.17454314
1970-01-01 00:17:35,0.13483875,-0.17597191,-0.15317474
1970-01-01 00:17:36,-0.0087803496,-0.14663485,-0.07838532
1970-01-01 00:17:37,-0.26990599,-0.13196633,-0.0035959019
1970-01-01 00:17:38,-0.45269394,-0.19064044,0.092561922
1970-01-01 00:17:39,-0.50491906,-0.19064044,0.30624597
1970-01-01 00:17:40,-0.46575022,-0.13196633,0.71224567
1970-01-01 00:17:41,-0.34824368,-0.1172978,1.1609822
1970-01-01 00:17:42,-0.29601855,-0.058623688,1.5776661
1970-01-01 00:17:43,-0.41352509,-0.087960743,1.9195606
1970-01-01 00:17:44,-0.4788065,-0.058623688,2.1973498
1970-01-01 00:17:45,-0.41352509,-0.10262927,2.3469287
1970-01-01 00:17:46,-0.26990599,5.0423064e-05,2.4430865
1970-01-01 00:17:47,-0.28296227,0.088061589,2.4217181
1970-01-01 00:17:48,-0.51797534,0.17607276,2.3469287
1970-01-01 00:17:49,-0.7660447,0.1467357,2.2507709
1970-01-01 00:17:50,-0.77910098,0.19074128,2.2400866
1970-01-01 00:17:51,-0.64853816,0.17607276,2.2828235
1970-01-01 00:17:52,-0.54408791,0.23474687,2.3148761
1970-01-01 00:17:53,-0.54408791,0.32275803,2.4110339
1970-01-01 00:17:54,-0.50491906,0.38143214,2.4217181
1970-01-01 00:17:55,-0.46575022,0.36676362,2.4003497
1970-01-01 00:17:56,-0.45269394,0.39610067,2.2187182
1970-01-01 00:17:57,-0.40046881,0.49878037,2.1118762
1970-01-01 00:17:58,-0.40046881,0.46944331,2.2294024
1970-01-01 00:17:59,-0.51797534,0.4107692,2.4324023
1970-01-01 00:18:00,-0.59631304,0.30808951,2.5926653
1970-01-01 00:18:01,-0.59631304,0.23474687,2.4858233
1970-01-01 00:18:02,-0.49186278,0.20540981,2.101192
1970-01-01 00:18:03,-0.42658137,0.17607276,1.4494557
1970-01-01 00:18:04,-0.40046881,0.16140423,0.70156147
1970-01-01 00:18:05,-0.45269394,0.16140423,0.081877719
1970-01-01 00:18:06,-0.57020047,0.073393062,-0.22796416
1970-01-01 00:18:07,-0.53103163,0.10273012,-0.29206937
1970-01-01 00:18:08,-0.43963765,0.073393062,-0.22796416
1970-01-01 00:18:09,-0.46575022,5.0423064e-05,-0.30275358
1970-01-01 00:18:10,-0.60936932,-0.014618105,-0.36685879
1970-01-01 00:18:11,-0.73993214,-0.058623688,-0.43096401
1970-01-01 00:18:12,-0.70076329,-0.10262927,-0.46301661
1970-01-01 00:18:13,-0.67465073,-0.16130338,-0.48438502
1970-01-01 00:18:14,-0.66159445,-0.23464602,-0.44164821
1970-01-01 00:18:15,-0.72687586,-0.21997749,-0.43096401
