t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:00:35+02:00,0.03999999999999915,0.48586118251928023,100.0,289.0,-0.48586118251928023,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0
2021-06-01 09:00:40+02:00,,,,,,,,,,,,,
2021-06-01 09:00:45+02:00,,,,,,,,,,,,,
2021-06-01 09:00:50+02:00,,,,,,,,,,,,,
2021-06-01 09:00:55+02:00,,,,,,,,,,,,,
2021-06-01 09:01:00+02:00,,,,,,,,,,,,,
2021-06-01 09:01:05+02:00,,,,,,,,,,,,,
2021-06-01 09:01:10+02:00,,,,,,,,,,,,,
2021-06-01 09:01:15+02:00,0.03999999999999915,0.48586118251928023,100.0,289.0,-0.48586118251928023,0.0,0.0,0.0,742.5,0.0,0.0,0.0,0.0
2021-06-01 09:01:20+02:00,,,,,,,,,,,,,
2021-06-01 09:01:25+02:00,,,,,,,,,,,,,
2021-06-01 09:01:30+02:00,,,,,,,,,,,,,
2021-06-01 09:01:35+02:00,,,,,,,,,,,,,
2021-06-01 09:01:40+02:00,,,,,,,,,,,,,
2021-06-01 09:01:45+02:00,,,,,,,,,,,,,
2021-06-01 09:01:50+02:00,,,,,,,,,,,,,
2021-06-01 09:01:55+02:00,,,,,,,,,,,,,
2021-06-01 09:02:00+02:00,,,,,,,,,,,,,
2021-06-01 09:02:05+02:00,,,,,,,,,,,,,
2021-06-01 09:02:10+02:00,,,,,,,,,,,,,
2021-06-01 09:02:15+02:00,,,,,,,,,,,,,
2021-06-01 09:02:20+02:00,,,,,,,,,,,,,
2021-06-01 09:02:25+02:00,,,,,,,,,,,,,
2021-06-01 09:02:30+02:00,,,,,,,,,,,,,
2021-06-01 09:02:35+02:00,,,,,,,,,,,,,
2021-06-01 09:02:40+02:00,,,,,,,,,,,,,
2021-06-01 09:02:45+02:00,,,,,,,,,,,,,
2021-06-01 09:02:50+02:00,,,,,,,,,,,,,
2021-06-01 09:02:55+02:00,,,,,,,,,,,,,
2021-06-01 09:03:00+02:00,,,,,,,,,,,,,
2021-06-01 09:03:05+02:00,,,,,,,,,,,,,
2021-06-01 09:03:10+02:00,,,,,,,,,,,,,
2021-06-01 09:03:15+02:00,,,,,,,,,,,,,
2021-06-01 09:03:20+02:00,,,,,,,,,,,,,
2021-06-01 09:03:25+02:00,,,,,,,,,,,,,
2021-06-01 09:03:30+02:00,,,,,,,,,,,,,
2021-06-01 09:03:35+02:00,,,,,,,,,,,,,
2021-06-01 09:03:40+02:00,,,,,,,,,,,,,
2021-06-01 09:03:45+02:00,,,,,,,,,,,,,
2021-06-01 09:03:50+02:00,,,,,,,,,,,,,
2021-06-01 09:03:55+02:00,,,,,,,,,,,,,
2021-06-01 09:04:00+02:00,,,,,,,,,,,,,
2021-06-01 09:04:05+02:00,,,,,,,,,,,,,
2021-06-01 09:04:10+02:00,,,,,,,,,,,,,
2021-06-01 09:04:15+02:00,,,,,,,,,,,,,
2021-06-01 09:04:20+02:00,,,,,,,,,,,,,
2021-06-01 09:04:25+02:00,,,,,,,,,,,,,
2021-06-01 09:04:30+02:00,,,,,,,,,,,,,
2021-06-01 09:04:35+02:00,,,,,,,,,,,,,
2021-06-01 09:04:40+02:00,,,,,,,,,,,,,
2021-06-01 09:04:45+02:00,,,,,,,,,,,,,
2021-06-01 09:04:50+02:00,,,,,,,,,,,,,
2021-06-01 09:04:55+02:00,,,,,,,,,,,,,
2021-06-01 09:05:00+02:00,,,,,,,,,,,,,
2021-06-01 09:05:05+02:00,,,,,,,,,,,,,
2021-06-01 09:05:10+02:00,0.03999999999999915,0.48586118251928023,100.0,289.0,-0.48586118251928023,0.0,0.0,0.0,1608.875,0.0,0.0,0.0,0.0
2021-06-01 09:05:15+02:00,,,,,,,,,,,,,
2021-06-01 09:05:20+02:00,,,,,,,,,,,,,
2021-06-01 09:05:25+02:00,,,,,,,,,,,,,
2021-06-01 09:05:30+02:00,,,,,,,,,,,,,
2021-06-01 09:05:35+02:00,,,,,,,,,,,,,
2021-06-01 09:05:40+02:00,,,,,,,,,,,,,
2021-06-01 09:05:45+02:00,,,,,,,,,,,,,
2021-06-01 09:05:50+02:00,,,,,,,,,,,,,
2021-06-01 09:05:55+02:00,,,,,,,,,,,,,
2021-06-01 09:06:00+02:00,,,,,,,,,,,,,
2021-06-01 09:06:05+02:00,,,,,,,,,,,,,
2021-06-01 09:06:10+02:00,,,,,,,,,,,,,
2021-06-01 09:06:15+02:00,,,,,,,,,,,,,
2021-06-01 09:06:20+02:00,,,,,,,,,,,,,
2021-06-01 09:06:25+02:00,,,,,,,,,,,,,
2021-06-01 09:06:30+02:00,,,,,,,,,,,,,
2021-06-01 09:06:35+02:00,,,,,,,,,,,,,
2021-06-01 09:06:40+02:00,,,,,,,,,,,,,
2021-06-01 09:06:45+02:00,,,,,,,,,,,,,
2021-06-01 09:06:50+02:00,,,,,,,,,,,,,
2021-06-01 09:06:55+02:00,,,,,,,,,,,,,
2021-06-01 09:07:00+02:00,,,,,,,,,,,,,
2021-06-01 09:07:05+02:00,,,,,,,,,,,,,
2021-06-01 09:07:10+02:00,,,,,,,,,,,,,
2021-06-01 09:07:15+02:00,,,,,,,,,,,,,
2021-06-01 09:07:20+02:00,,,,,,,,,,,,,
2021-06-01 09:07:25+02:00,,,,,,,,,,,,,
2021-06-01 09:07:30+02:00,,,,,,,,,,,,,
2021-06-01 09:07:35+02:00,,,,,,,,,,,,,
2021-06-01 09:07:40+02:00,,,,,,,,,,,,,
2021-06-01 09:07:45+02:00,,,,,,,,,,,,,
2021-06-01 09:07:50+02:00,,,,,,,,,,,,,
2021-06-01 09:07:55+02:00,,,,,,,,,,,,,
2021-06-01 09:08:00+02:00,,,,,,,,,,,,,
2021-06-01 09:08:05+02:00,0.03999999999999915,0.5485883585082133,100.0,345.0,-0.5485883585082133,0.0,67.0,0.0,1635.0,0.0,0.03227628499959655,0.17424215552481426,0.0
2021-06-01 09:08:10+02:00,,,,,,,,,,,,,
2021-06-01 09:08:15+02:00,,,,,,,,,,,,,
2021-06-01 09:08:20+02:00,,,,,,,,,,,,,
2021-06-01 09:08:25+02:00,,,,,,,,,,,,,
2021-06-01 09:08:30+02:00,,,,,,,,,,,,,
2021-06-01 09:08:35+02:00,,,,,,,,,,,,,
2021-06-01 09:08:40+02:00,,,,,,,,,,,,,
2021-06-01 09:08:45+02:00,,,,,,,,,,,,,
2021-06-01 09:08:50+02:00,,,,,,,,,,,,,
2021-06-01 09:08:55+02:00,,,,,,,,,,,,,
2021-06-01 09:09:00+02:00,,,,,,,,,,,,,
2021-06-01 09:09:05+02:00,,,,,,,,,,,,,
2021-06-01 09:09:10+02:00,,,,,,,,,,,,,
2021-06-01 09:09:15+02:00,,,,,,,,,,,,,
2021-06-01 09:09:20+02:00,,,,,,,,,,,,,
2021-06-01 09:09:25+02:00,,,,,,,,,,,,,
2021-06-01 09:09:30+02:00,0.03999999999999915,0.5642701525054467,100.0,359.0,-0.5642701525054467,0.0,667.0,0.0,1867.0,0.0,0.0,0.0,0.0
2021-06-01 09:09:35+02:00,,,,,,,,,,,,,
2021-06-01 09:09:40+02:00,0.03999999999999915,0.5642701525054467,100.0,359.0,-0.5642701525054467,0.0,1267.0,0.0,2467.0,0.0,0.0,0.0,0.0
2021-06-01 09:09:45+02:00,,,,,,,,,,,,,
2021-06-01 09:09:50+02:00,,,,,,,,,,,,,
2021-06-01 09:09:55+02:00,,,,,,,,,,,,,
2021-06-01 09:10:00+02:00,,,,,,,,,,,,,
2021-06-01 09:10:05+02:00,,,,,,,,,,,,,
2021-06-01 09:10:10+02:00,,,,,,,,,,,,,
2021-06-01 09:10:15+02:00,,,,,,,,,,,,,
2021-06-01 09:10:20+02:00,,,,,,,,,,,,,
