t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:00:30+02:00,0.040000000000000036,0.8130841121495327,582.0,60.0,0.8130841121495327,0.0,0.0,1047.0,0.0,0.0,0.0,0.0,0.0
2021-06-01 09:00:35+02:00,0.03000000000000025,0.8130841121495327,582.0,60.0,0.8130841121495327,0.0,0.0,1629.0,0.0,0.0,0.0,0.0,0.0015703517587942152
2021-06-01 09:00:40+02:00,,,,,,,,,,,,,
2021-06-01 09:00:45+02:00,,,,,,,,,,,,,
2021-06-01 09:00:50+02:00,,,,,,,,,,,,,
2021-06-01 09:00:55+02:00,0.03000000000000025,0.8130841121495327,582.0,60.0,0.8130841121495327,0.0,462.0,1629.0,0.0,0.0,0.0,0.0,0.0
2021-06-01 09:01:00+02:00,,,,,,,,,,,,,
2021-06-01 09:01:05+02:00,,,,,,,,,,,,,
2021-06-01 09:01:10+02:00,,,,,,,,,,,,,
2021-06-01 09:01:15+02:00,,,,,,,,,,,,,
2021-06-01 09:01:20+02:00,,,,,,,,,,,,,
2021-06-01 09:01:25+02:00,,,,,,,,,,,,,
2021-06-01 09:01:30+02:00,,,,,,,,,,,,,
2021-06-01 09:01:35+02:00,,,,,,,,,,,,,
2021-06-01 09:01:40+02:00,,,,,,,,,,,,,
2021-06-01 09:01:45+02:00,0.03000000000000025,0.8130841121495327,582.0,60.0,0.8130841121495327,0.0,462.0,1629.0,15.0,0.0,0.0,0.0,0.0
2021-06-01 09:01:50+02:00,,,,,,,,,,,,,
2021-06-01 09:01:55+02:00,,,,,,,,,,,,,
2021-06-01 09:02:00+02:00,0.03000000000000025,0.8130841121495327,582.0,60.0,0.8130841121495327,0.0,462.0,1649.0,15.0,0.0,0.0,0.0,0.0
2021-06-01 09:02:05+02:00,,,,,,,,,,,,,
2021-06-01 09:02:10+02:00,,,,,,,,,,,,,
2021-06-01 09:02:15+02:00,,,,,,,,,,,,,
2021-06-01 09:02:20+02:00,0.03000000000000025,0.7972972972972973,532.0,60.0,0.7972972972972973,50.0,462.0,1649.0,253.0,0.0,0.009707983845914892,0.00041467861445325534,0.0
2021-06-01 09:02:25+02:00,,,,,,,,,,,,,
2021-06-01 09:02:30+02:00,0.03000000000000025,0.7972972972972973,532.0,60.0,0.7972972972972973,50.0,462.0,2098.0,491.0,0.0,0.0,0.0,0.0
2021-06-01 09:02:35+02:00,,,,,,,,,,,,,
2021-06-01 09:02:40+02:00,,,,,,,,,,,,,
2021-06-01 09:02:45+02:00,,,,,,,,,,,,,
2021-06-01 09:02:50+02:00,,,,,,,,,,,,,
2021-06-01 09:02:55+02:00,,,,,,,,,,,,,
2021-06-01 09:03:00+02:00,,,,,,,,,,,,,
2021-06-01 09:03:05+02:00,,,,,,,,,,,,,
2021-06-01 09:03:10+02:00,,,,,,,,,,,,,
2021-06-01 09:03:15+02:00,0.03000000000000025,0.7972972972972973,532.0,60.0,0.7972972972972973,50.0,962.0,2098.0,491.0,0.0,0.0,0.0,0.0
2021-06-01 09:03:20+02:00,,,,,,,,,,,,,
2021-06-01 09:03:25+02:00,,,,,,,,,,,,,
2021-06-01 09:03:30+02:00,,,,,,,,,,,,,
2021-06-01 09:03:35+02:00,,,,,,,,,,,,,
2021-06-01 09:03:40+02:00,0.03000000000000025,0.7972972972972973,532.0,60.0,0.7972972972972973,50.0,962.0,2574.0,491.0,0.0,0.0,0.0,0.0
2021-06-01 09:03:45+02:00,,,,,,,,,,,,,
2021-06-01 09:03:50+02:00,,,,,,,,,,,,,
2021-06-01 09:03:55+02:00,,,,,,,,,,,,,
2021-06-01 09:04:00+02:00,,,,,,,,,,,,,
2021-06-01 09:04:05+02:00,0.03000000000000025,0.7972972972972973,532.0,60.0,0.7972972972972973,50.0,962.0,2574.0,591.0,0.0,0.0,0.0,0.0
2021-06-01 09:04:10+02:00,,,,,,,,,,,,,
2021-06-01 09:04:15+02:00,,,,,,,,,,,,,
2021-06-01 09:04:20+02:00,,,,,,,,,,,,,
2021-06-01 09:04:25+02:00,,,,,,,,,,,,,
2021-06-01 09:04:30+02:00,,,,,,,,,,,,,
2021-06-01 09:04:35+02:00,,,,,,,,,,,,,
2021-06-01 09:04:40+02:00,,,,,,,,,,,,,
2021-06-01 09:04:45+02:00,,,,,,,,,,,,,
2021-06-01 09:04:50+02:00,,,,,,,,,,,,,
2021-06-01 09:04:55+02:00,,,,,,,,,,,,,
2021-06-01 09:05:00+02:00,,,,,,,,,,,,,
2021-06-01 09:05:05+02:00,,,,,,,,,,,,,
2021-06-01 09:05:10+02:00,,,,,,,,,,,,,
2021-06-01 09:05:15+02:00,,,,,,,,,,,,,
2021-06-01 09:05:20+02:00,,,,,,,,,,,,,
2021-06-01 09:05:25+02:00,,,,,,,,,,,,,
2021-06-01 09:05:30+02:00,,,,,,,,,,,,,
2021-06-01 09:05:35+02:00,,,,,,,,,,,,,
2021-06-01 09:05:40+02:00,,,,,,,,,,,,,
2021-06-01 09:05:45+02:00,,,,,,,,,,,,,
2021-06-01 09:05:50+02:00,,,,,,,,,,,,,
2021-06-01 09:05:55+02:00,,,,,,,,,,,,,
2021-06-01 09:06:00+02:00,,,,,,,,,,,,,
2021-06-01 09:06:05+02:00,,,,,,,,,,,,,
2021-06-01 09:06:10+02:00,,,,,,,,,,,,,
2021-06-01 09:06:15+02:00,,,,,,,,,,,,,
2021-06-01 09:06:20+02:00,,,,,,,,,,,,,
2021-06-01 09:06:25+02:00,,,,,,,,,,,,,
2021-06-01 09:06:30+02:00,,,,,,,,,,,,,
2021-06-01 09:06:35+02:00,,,,,,,,,,,,,
2021-06-01 09:06:40+02:00,,,,,,,,,,,,,
2021-06-01 09:06:45+02:00,,,,,,,,,,,,,
2021-06-01 09:06:50+02:00,,,,,,,,,,,,,
2021-06-01 09:06:55+02:00,,,,,,,,,,,,,
2021-06-01 09:07:00+02:00,,,,,,,,,,,,,
